food_name,category,serving_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,vitamin_c_mg,iron_mg,calcium_mg,potassium_mg,glycemic_index,water_content_pct,source
cucumber,Vegetable,150,15.94,0.73,3.46,0.1,0.53,1.83,40.5,33.2,0.81,263.5,569.6,83,25.4,USDA
egg,Protein,200,79.58,6.39,0.65,4.76,0.0,0.48,80.8,34.3,1.11,31.3,252.4,82,15.7,NIN
olive_oil,Oil,150,930.29,0.0,0.0,95.25,0.0,0.09,54.0,59.7,1.59,132.2,163.6,37,95.6,WHO
chickpeas,Legume,75,161.86,8.87,25.47,2.51,7.31,10.2,181.6,29.6,2.77,140.2,55.7,27,84.3,NIN
oats,Grain,75,402.28,17.57,68.49,6.73,9.91,2.8,67.2,18.8,3.64,299.0,566.6,86,69.6,USDA
apple,Fruit,100,95.07,0.49,27.02,0.31,4.14,13.49,9.2,14.3,0.76,150.4,236.5,69,17.0,WHO
lentils,Legume,200,114.76,8.65,19.4,0.43,8.0,11.69,56.9,28.8,1.78,271.3,194.8,43,52.0,NIN
peach,Fruit,100,40.48,0.9,10.18,0.3,1.6,3.81,88.6,15.1,0.31,59.0,308.6,30,69.2,NIN
pineapple,Fruit,150,46.33,0.49,13.54,0.1,1.4,6.73,173.5,9.9,0.46,261.1,149.4,31,73.2,WHO
chicken,Protein,200,228.0,29.15,0.0,14.6,0.0,0.04,50.0,39.8,0.47,102.0,206.4,25,40.9,USDA
cucumber,Vegetable,75,14.79,0.7,3.72,0.1,0.51,0.95,131.9,26.4,0.27,188.6,299.2,82,16.8,USDA
rice,Grain,100,200.17,3.99,41.91,0.43,0.59,11.07,36.4,77.2,3.48,31.3,518.8,30,40.4,NIN
spinach,Vegetable,75,21.6,2.9,3.56,0.42,2.13,1.64,27.1,53.2,3.35,156.2,319.3,59,48.4,NIN
orange,Fruit,150,65.09,1.22,15.24,0.2,2.87,3.49,93.2,17.9,2.78,50.7,322.4,90,63.9,USDA
spinach,Vegetable,150,22.77,3.09,3.59,0.38,2.07,2.0,168.5,41.8,1.25,19.1,92.1,15,51.7,NIN
peas,Vegetable,50,80.54,5.59,15.23,0.39,5.17,6.8,4.2,59.2,1.91,236.9,513.6,15,12.6,WHO
cucumber,Vegetable,200,16.57,0.73,3.57,0.1,0.49,2.02,162.2,16.9,0.41,294.7,192.6,23,44.5,USDA
apple,Fruit,150,89.17,0.47,25.01,0.31,4.66,14.56,120.8,38.9,2.51,292.3,248.4,60,78.2,USDA
lemon,Fruit,75,26.74,1.03,8.58,0.32,2.96,1.56,130.1,52.0,1.8,189.7,484.5,34,12.8,NIN
blueberry,Fruit,150,56.29,0.66,15.43,0.31,2.38,4.48,4.9,36.0,1.05,92.0,506.2,60,9.6,USDA
mango,Fruit,150,64.6,0.84,15.57,0.41,1.61,2.97,98.0,38.9,2.41,185.4,423.3,72,26.1,USDA
butter,Dairy,50,708.05,0.87,0.09,86.09,0.0,0.29,99.5,75.1,1.45,210.8,61.4,46,71.1,NIN
onion,Vegetable,150,38.29,1.05,9.91,0.1,1.73,4.78,131.7,10.5,1.24,214.9,577.9,56,77.4,IFCT
tuna,Protein,75,127.41,29.12,0.0,0.94,0.0,0.2,21.1,33.3,3.98,94.6,165.2,16,95.9,WHO
carrot,Vegetable,100,53.47,1.14,13.01,0.2,2.94,2.82,23.7,18.1,2.29,148.5,596.5,55,75.0,WHO
blueberry,Fruit,200,57.95,0.66,13.46,0.32,2.51,8.39,151.4,78.0,3.15,184.8,522.1,23,79.9,USDA
yogurt,Dairy,50,94.67,15.96,5.72,0.68,0.0,2.7,152.6,39.9,3.49,50.5,250.1,27,16.2,IFCT
zucchini,Vegetable,150,17.73,1.11,3.27,0.3,0.97,0.73,53.9,57.2,1.72,190.7,185.0,77,43.4,IFCT
lemon,Fruit,150,28.6,1.08,9.24,0.32,2.93,2.34,6.9,11.6,0.14,242.8,569.0,20,35.8,NIN
olive_oil,Oil,75,874.68,0.0,0.0,106.76,0.0,0.21,195.6,78.4,3.22,263.4,585.0,63,41.6,WHO
chickpeas,Legume,100,174.74,8.29,26.05,2.61,8.11,11.49,89.8,16.4,2.22,237.6,408.6,54,85.8,NIN
olive_oil,Oil,75,937.89,0.0,0.0,98.24,0.0,0.06,104.6,43.3,0.93,155.9,221.7,53,73.9,IFCT
banana,Fruit,50,111.56,1.31,25.96,0.42,3.0,7.14,101.5,58.6,3.38,81.6,329.1,25,9.3,USDA
zucchini,Vegetable,100,17.2,1.11,3.02,0.29,1.04,1.29,143.2,75.0,2.7,254.1,178.6,48,30.9,IFCT
lentils,Legume,150,116.37,8.64,19.45,0.41,8.41,4.65,20.5,56.9,3.33,29.2,84.2,26,48.3,NIN
watermelon,Fruit,100,30.85,0.59,7.67,0.21,0.42,2.87,127.7,79.7,2.79,284.6,452.4,63,80.0,IFCT
yogurt,Dairy,75,99.76,16.88,6.45,0.7,0.0,2.65,91.6,2.6,0.71,169.9,556.9,25,59.7,NIN
pineapple,Fruit,50,48.96,0.48,13.15,0.09,1.36,3.26,59.5,2.2,0.66,236.2,282.0,49,85.9,IFCT
pear,Fruit,150,52.46,0.4,14.15,0.09,3.09,3.17,91.0,27.0,1.57,251.2,508.5,26,74.3,NIN
walnut,Nut,150,671.5,14.16,14.51,60.73,6.83,5.43,78.1,72.0,1.42,18.5,418.7,66,72.0,USDA
peach,Fruit,50,39.45,0.94,9.82,0.3,1.41,3.41,39.3,49.5,2.35,20.6,363.6,34,73.3,USDA
pineapple,Fruit,200,47.44,0.46,13.7,0.1,1.45,7.03,89.4,64.6,2.47,123.5,74.7,12,35.9,IFCT
peas,Vegetable,50,85.66,5.24,13.94,0.38,4.77,1.88,29.7,20.4,0.45,95.5,274.0,31,10.4,WHO
pear,Fruit,50,58.95,0.39,14.22,0.09,3.29,2.72,188.4,72.0,0.3,75.7,378.4,40,49.9,NIN
pineapple,Fruit,100,46.49,0.5,12.91,0.1,1.38,2.22,177.3,21.5,3.86,204.2,185.5,81,64.3,IFCT
lettuce,Vegetable,200,14.78,1.31,2.96,0.19,1.4,0.96,197.1,62.6,2.2,130.0,551.3,67,8.8,NIN
tuna,Protein,100,135.23,26.51,0.0,1.07,0.0,0.37,136.3,79.9,3.39,67.8,512.4,46,9.1,USDA
lettuce,Vegetable,50,14.75,1.32,2.73,0.2,1.25,1.04,122.5,76.6,1.34,206.2,238.4,43,94.1,NIN
broccoli,Vegetable,75,56.43,3.59,10.68,0.64,4.96,6.19,27.6,73.8,2.47,6.3,55.3,32,42.6,NIN
walnut,Nut,150,657.99,15.69,14.33,60.61,6.2,7.07,134.7,53.8,1.48,244.8,505.1,55,40.2,USDA
pineapple,Fruit,150,48.96,0.48,12.07,0.1,1.46,5.51,142.1,15.3,3.28,189.4,494.6,38,26.3,NIN
garlic,Vegetable,50,143.77,6.81,34.2,0.48,2.0,16.4,79.8,69.6,2.32,150.7,353.5,82,66.2,IFCT
watermelon,Fruit,200,28.22,0.56,7.31,0.2,0.38,2.62,156.7,15.3,2.74,297.6,431.1,78,60.9,NIN
apple,Fruit,150,97.14,0.54,23.3,0.32,4.35,14.99,55.5,54.4,1.92,111.6,467.5,38,9.3,NIN
cream,Dairy,150,330.0,2.06,2.73,38.19,0.0,1.67,45.9,55.2,3.84,275.5,158.3,52,33.3,USDA
banana,Fruit,150,103.86,1.2,28.28,0.43,3.27,4.38,95.2,76.7,3.35,247.4,335.8,40,90.9,NIN
walnut,Nut,50,667.12,15.19,13.07,60.43,6.2,2.97,169.7,5.2,0.6,276.1,293.1,48,60.6,NIN
watermelon,Fruit,50,30.85,0.61,7.35,0.2,0.37,3.55,47.4,48.0,2.67,8.1,261.2,64,85.1,USDA
bell_pepper,Vegetable,50,30.77,0.97,5.7,0.28,2.13,0.71,158.1,15.5,2.34,193.0,191.0,63,48.8,NIN
pear,Fruit,75,53.7,0.37,14.29,0.1,3.11,6.12,72.2,46.7,2.21,48.0,308.2,87,36.2,WHO
apple,Fruit,200,96.31,0.51,23.32,0.3,4.64,13.0,85.0,15.6,0.88,273.0,481.9,53,22.2,NIN
tofu,Protein,150,77.21,7.78,1.92,5.16,0.31,0.77,33.3,36.3,3.18,17.4,170.7,10,63.1,IFCT
cauliflower,Vegetable,200,23.85,1.89,5.53,0.32,2.1,1.51,80.7,66.1,0.13,7.9,246.8,81,15.5,WHO
zucchini,Vegetable,75,17.36,1.28,3.03,0.32,0.95,0.89,44.6,21.0,0.78,255.0,185.3,35,7.0,WHO
mango,Fruit,50,63.18,0.75,15.37,0.42,1.56,2.29,91.8,29.6,1.55,55.6,339.8,89,85.2,USDA
pineapple,Fruit,75,53.06,0.47,12.45,0.1,1.44,2.84,86.5,50.9,3.69,230.1,373.0,78,31.8,IFCT
cucumber,Vegetable,75,14.86,0.73,3.81,0.11,0.54,1.97,42.6,6.5,1.94,200.7,85.7,75,40.3,WHO
cheese,Dairy,200,399.7,24.29,1.27,34.03,0.0,0.64,54.4,32.1,3.69,177.3,70.1,38,86.4,NIN
tomato,Vegetable,150,33.42,1.58,7.55,0.38,2.53,1.55,17.9,60.1,1.25,158.1,176.6,15,47.3,WHO
mushroom,Vegetable,150,21.89,3.05,3.46,0.29,0.98,0.77,47.5,51.6,1.5,29.3,513.4,75,54.7,USDA
broccoli,Vegetable,75,51.47,3.45,10.37,0.57,4.85,2.55,61.2,65.2,2.77,86.0,438.1,27,95.9,WHO
apple,Fruit,100,91.68,0.49,27.1,0.32,4.63,11.53,3.4,52.3,3.96,285.7,526.0,39,25.7,IFCT
milk,Dairy,75,149.38,8.37,12.49,8.28,0.0,5.81,63.3,15.0,3.1,210.9,165.3,67,82.6,USDA
garlic,Vegetable,75,150.85,6.02,35.45,0.46,2.2,16.65,68.6,33.5,2.77,124.0,478.3,78,32.3,USDA
chicken,Protein,50,255.14,25.5,0.0,13.62,0.0,0.2,122.0,69.4,3.92,65.2,264.8,78,40.2,NIN
mango,Fruit,100,60.67,0.79,15.95,0.37,1.5,5.2,7.4,55.1,2.01,60.1,88.2,59,30.8,IFCT
